update,condition,minimal_avg.fitness,minimal_avg.offspring.cost,minimal_avg.energy.acq.rate,minimal_pop.size,selective_avg.fitness,selective_avg.offspring.cost,selective_avg.energy.acq.rate,selective_pop.size,rich_avg.fitness,rich_avg.offspring.cost,rich_avg.energy.acq.rate,rich_pop.size
64,wildtype-only,0.355970851,133.0378378,46.95675676,381,0.248788747,189.0065359,47.00653595,155,0.356971231,132.0682415,46.96325459,396
65,wildtype-only,0.355778734,133.1564987,46.96286472,387,0.248828081,188.9698795,47.0060241,169,0.357082023,132.0074813,46.96508728,415
66,wildtype-only,0.356244997,132.6777494,46.96675192,402,0.248365795,189.5058824,47.01176471,174,0.357126058,131.9832134,46.96882494,430
67,wildtype-only,0.357239756,131.9562044,46.97323601,422,0.248365795,189.5058824,47.01176471,175,0.357091078,131.9651163,46.9627907,445
68,wildtype-only,0.3573442,131.8399072,46.96287703,446,0.24864721,189.2117647,47.00588235,175,0.357694655,131.4842342,46.97072072,460
69,wildtype-only,0.357477402,131.8045455,46.97045455,456,0.248663186,189.1954023,47.00574713,179,0.357373391,131.6600877,46.9627193,473
70,wildtype-only,0.357131971,131.9888889,46.97333333,468,0.248692058,189.1554404,47.00518135,198,0.357985725,131.3221053,46.96842105,495
71,wildtype-only,0.357157086,131.9827957,46.96989247,481,0.248736427,189.1121951,47.00487805,212,0.357743182,131.4426559,46.96780684,517
72,wildtype-only,0.356320077,132.5922921,46.96348884,507,0.248770222,189.0787037,47.00462963,224,0.357967557,131.3104126,46.96463654,530
73,wildtype-only,0.356868756,132.2888016,46.96267191,522,0.248775437,189.0733945,47.00458716,226,0.357827078,131.407197,46.96969697,547
74,wildtype-only,0.356874749,132.2859922,46.96498054,530,0.248775437,189.0733945,47.00458716,226,0.35763061,131.5018248,46.96715328,566
75,wildtype-only,0.357104492,132.1864407,46.97551789,546,0.248412916,189.4931507,47.00913242,228,0.357458392,131.5600707,46.96289753,585
76,wildtype-only,0.356901039,132.2563177,46.97111913,573,0.248477318,189.4304348,47.00869565,239,0.357274029,131.6443299,46.95876289,602
77,wildtype-only,0.35635785,132.6994819,46.97927461,596,0.247893591,190.1693548,47.01612903,256,0.356947948,131.9516667,46.95833333,619
78,wildtype-only,0.356380228,132.6565657,46.97474747,606,0.247874135,190.1910112,47.01872659,274,0.357173979,131.8214286,46.95616883,635
79,wildtype-only,0.356424134,132.6142384,46.97019868,621,0.248178482,189.8339483,47.01476015,278,0.357262524,131.7802198,46.96075353,653
80,wildtype-only,0.35594069,132.9601276,46.96331738,644,0.24818877,189.8211679,47.01459854,280,0.357650987,131.4617737,46.9648318,672
81,wildtype-only,0.35637143,132.5356601,46.95599393,676,0.248197103,189.8115942,47.01449275,281,0.357235003,131.8106509,46.96449704,694
82,wildtype-only,0.356781127,132.3258595,46.95964126,688,0.248235284,189.7638889,47.01388889,293,0.357091612,131.8818444,46.96397695,709
83,wildtype-only,0.356731006,132.4121123,46.9704579,698,0.248282535,189.6990291,47.01294498,314,0.357199071,131.8316832,46.96322489,723
84,wildtype-only,0.356466899,132.6705202,46.97254335,714,0.248922257,188.7383178,46.97507788,328,0.357416556,131.6984786,46.96542185,740
85,wildtype-only,0.356597637,132.4080221,46.95850622,745,0.249060836,188.7492447,47.00302115,338,0.357507936,131.6675639,46.96904441,759
86,wildtype-only,0.357142805,132.0107672,46.96096904,766,0.248810687,188.8507463,46.9761194,341,0.357772809,131.5,46.96456693,781
87,wildtype-only,0.35746386,131.8503311,46.96556291,779,0.248806739,188.8537313,46.9761194,342,0.357792359,131.4805699,46.9611399,792
88,wildtype-only,0.357480517,131.9726563,46.96614583,794,0.248808298,188.8533724,46.97653959,348,0.358088727,131.2169448,46.96020539,800
89,wildtype-only,0.357490854,131.7802057,46.94215938,810,0.248836834,188.8347107,46.97796143,371,0.358126538,131.2085427,46.96231156,816
90,wildtype-only,0.357752109,131.660401,46.95238095,826,0.248890854,188.795756,46.97877984,387,0.358012321,131.2459627,46.95776398,828
91,wildtype-only,0.357507486,131.7938272,46.95308642,838,0.249007486,188.6760925,46.97686375,398,0.358045863,131.2414216,46.96078431,841
92,wildtype-only,0.357943866,131.5905225,46.95747266,850,0.248785652,188.9370277,46.97984887,407,0.357980932,131.2570379,46.95716034,843
93,wildtype-only,0.357973895,131.5574163,46.9569378,862,0.248688993,188.9054726,46.95522388,410,0.358000868,131.2572816,46.95995146,851
94,wildtype-only,0.357605926,131.8358914,46.96103896,871,0.248695358,188.9014778,46.95566502,415,0.357884838,131.4208633,46.9616307,862
