Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
FRANCIS BLANC,SUISSE-LUXEMBOURG,134h 37' 38'',+ 00h 47' 56'',1968,4492,26,484658,2876
DIETER PUSCHEL,DEUTSCHLAND,134h 38' 30'',+ 00h 48' 48'',1968,4492,26,484710,2928
MICHEL GRAIN,FRANCE B,134h 38' 49'',+ 00h 49' 07'',1968,4492,26,484729,2947
SÉBASTIEN ELORZA,ESPANA,134h 41' 50'',+ 00h 52' 08'',1968,4492,26,484910,3128
WILLY SPUHLER,SUISSE-LUXEMBOURG,134h 48' 00'',+ 00h 58' 18'',1968,4492,26,485280,3498
GILBERT BELLONE,FRANCE B,134h 54' 38'',+ 01h 04' 56'',1968,4492,26,485678,3896
JEAN-PIERRE GENET,FRANCE A,134h 57' 08'',+ 01h 07' 26'',1968,4492,26,485828,4046
GEORGES CHAPPE,FRANCE B,134h 57' 42'',+ 01h 08' 00'',1968,4492,26,485862,4080
MAURICE IZIER,FRANCE C,135h 00' 36'',+ 01h 10' 54'',1968,4492,26,486036,4254
HERBERT WILDE,DEUTSCHLAND,135h 01' 29'',+ 01h 11' 47'',1968,4492,26,486089,4307
CHRISTIAN RAYMOND,FRANCE A,135h 02' 49'',+ 01h 13' 07'',1968,4492,26,486169,4387
DANIEL VAN RYCKEGHEM,BELGIQUE A,135h 03' 13'',+ 01h 13' 31'',1968,4492,26,486193,4411
JEAN MONTEYNE,BELGIQUE B,135h 08' 03'',+ 01h 18' 21'',1968,4492,26,486483,4701
SERGE BOLLEY,FRANCE B,135h 08' 57'',+ 01h 19' 15'',1968,4492,26,486537,4755
MARCEL MAES,BELGIQUE A,135h 11' 33'',+ 01h 21' 51'',1968,4492,26,486693,4911
ANATOLE NOVAK,FRANCE A,135h 23' 40'',+ 01h 33' 58'',1968,4492,26,487420,5638
ERIC DE VLAEMINCK,BELGIQUE B,135h 27' 24'',+ 01h 37' 42'',1968,4492,26,487644,5862
ERIC LEMAN,BELGIQUE B,135h 30' 30'',+ 01h 40' 48'',1968,4492,26,487830,6048
EDOUARD WECKX,BELGIQUE A,135h 30' 59'',+ 01h 41' 17'',1968,4492,26,487859,6077
VICTOR NUELANT,BELGIQUE B,135h 32' 56'',+ 01h 43' 14'',1968,4492,26,487976,6194
EDDY BEUGELS,NEDERLAND,135h 34' 03'',+ 01h 44' 21'',1968,4492,26,488043,6261
EVERT DOLMAN,NEDERLAND,135h 36' 32'',+ 01h 46' 50'',1968,4492,26,488192,6410
WILLY IN'T VEN,BELGIQUE A,135h 37' 11'',+ 01h 47' 29'',1968,4492,26,488231,6449
JEAN-MARIE LEBLANC,FRANCE B,135h 39' 18'',+ 01h 49' 36'',1968,4492,26,488358,6576
JEAN-LOUIS BODIN,FRANCE C,135h 39' 32'',+ 01h 49' 50'',1968,4492,26,488372,6590
RÉMY VAN VRECKHOM,BELGIQUE B,135h 40' 54'',+ 01h 51' 12'',1968,4492,26,488454,6672
MINO DENTI,ITALIA,135h 46' 29'',+ 01h 56' 47'',1968,4492,26,488789,7007
VIC DENSON,GREAT BRITAIN,136h 13' 11'',+ 02h 23' 29'',1968,4492,26,490391,8609
JOHN CLAREY,GREAT BRITAIN,136h 33' 10'',+ 02h 43' 28'',1968,4492,26,491590,9808
EDDY MERCKX,FAEMA,116h 16' 02'',-,1969,4117,26,418562,0
ROGER PINGEON,PEUGEOT-BP-MICHELIN,116h 33' 56'',+ 00h 17' 54'',1969,4117,26,419636,1074
RAYMOND POULIDOR,MERCIER-BP-HUTCHINSON,116h 38' 15'',+ 00h 22' 13'',1969,4117,26,419895,1333
FELICE GIMONDI,SALVARANI,116h 45' 26'',+ 00h 29' 24'',1969,4117,26,420326,1764
ANDRES GANDARIAS,KAS-KASKOL,116h 49' 06'',+ 00h 33' 04'',1969,4117,26,420546,1984
MARINUS ''RINI'' WAGTMANS,WILLEM II-GAZELLE,116h 49' 59'',+ 00h 33' 57'',1969,4117,26,420599,2037
FRANCO VIANELLI,MOLTENI,116h 58' 42'',+ 00h 42' 40'',1969,4117,26,421122,2560
JOAQUIM AGOSTINHO,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,117h 07' 26'',+ 00h 51' 24'',1969,4117,26,421646,3084
DÉSIRÉ LETORT,PEUGEOT-BP-MICHELIN,117h 07' 43'',+ 00h 51' 41'',1969,4117,26,421663,3101
JAN JANSSEN,BIC,117h 08' 58'',+ 00h 52' 56'',1969,4117,26,421738,3176
JOAQUIM GALERA,FAGOR,117h 10' 49'',+ 00h 54' 47'',1969,4117,26,421849,3287
LUCIEN VAN IMPE,SONOLOR-LEJEUNE-WOLBER,117h 12' 19'',+ 00h 56' 17'',1969,4117,26,421939,3377
JEAN-CLAUDE THEILLIERE,SONOLOR-LEJEUNE-WOLBER,117h 21' 00'',+ 01h 04' 58'',1969,4117,26,422460,3898
WLADIMIRO PANIZZA,SALVARANI,117h 21' 18'',+ 01h 05' 16'',1969,4117,26,422478,3916
EDDY SCHUTZ,MOLTENI,117h 23' 00'',+ 01h 06' 58'',1969,4117,26,422580,4018
JEAN DUMONT,PEUGEOT-BP-MICHELIN,117h 23' 27'',+ 01h 07' 25'',1969,4117,26,422607,4045
PAUL GUTTY,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,117h 24' 07'',+ 01h 08' 05'',1969,4117,26,422647,4085
HERMAN VANSPRINGEL,MANN-GRUNDIG,117h 26' 13'',+ 01h 10' 11'',1969,4117,26,422773,4211
EDUARDO CASTELLO,KAS-KASKOL,117h 30' 06'',+ 01h 14' 04'',1969,4117,26,423006,4444
MICHELE DANCELLI,MOLTENI,117h 33' 38'',+ 01h 17' 36'',1969,4117,26,423218,4656
FRANCISCO GALDOS,KAS-KASKOL,117h 33' 46'',+ 01h 17' 44'',1969,4117,26,423226,4664
JOSÉ LOPEZ CANO,FAGOR,117h 34' 22'',+ 01h 18' 20'',1969,4117,26,423262,4700
MARTIN VAN DEN BOSSCHE,FAEMA,117h 35' 10'',+ 01h 19' 08'',1969,4117,26,423310,4748
FRANCISCO GABICA,FAGOR,117h 41' 21'',+ 01h 25' 19'',1969,4117,26,423681,5119
BERNARD LABOURDETTE,MERCIER-BP-HUTCHINSON,117h 43' 05'',+ 01h 27' 03'',1969,4117,26,423785,5223
ANDRÉ ZIMMERMANN,SONOLOR-LEJEUNE-WOLBER,117h 46' 58'',+ 01h 30' 56'',1969,4117,26,424018,5456
WILFRIED DAVID,FLANDRIA-DE CLERCK-KRUGER,117h 49' 33'',+ 01h 33' 31'',1969,4117,26,424173,5611
JOSEPH SPRUYT,FAEMA,117h 55' 10'',+ 01h 39' 08'',1969,4117,26,424510,5948
VICTOR VAN SCHIL,FAEMA,118h 02' 10'',+ 01h 46' 08'',1969,4117,26,424930,6368
LUCIEN AIMAR,BIC,118h 05' 59'',+ 01h 49' 57'',1969,4117,26,425159,6597
ANDRÉ BAYSSIERE,PEUGEOT-BP-MICHELIN,118h 11' 00'',+ 01h 54' 58'',1969,4117,26,425460,6898
DEREK HARRISSON,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,118h 11' 26'',+ 01h 55' 24'',1969,4117,26,425486,6924
ANDRÉ POPPE,MANN-GRUNDIG,118h 13' 01'',+ 01h 56' 59'',1969,4117,26,425581,7019
STÉPHANE ABRAHAMIAN,SONOLOR-LEJEUNE-WOLBER,118h 14' 38'',+ 01h 58' 36'',1969,4117,26,425678,7116
MAURICE IZIER,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,118h 17' 58'',+ 02h 01' 56'',1969,4117,26,425878,7316
DINO ZANDEGU,SALVARANI,118h 20' 10'',+ 02h 04' 08'',1969,4117,26,426010,7448
RAYMOND DELISLE,PEUGEOT-BP-MICHELIN,118h 21' 39'',+ 02h 05' 37'',1969,4117,26,426099,7537
DOMINGO PERURENA,FAGOR,118h 27' 55'',+ 02h 11' 53'',1969,4117,26,426475,7913
FRANCO BALMAMION,SALVARANI,118h 28' 07'',+ 02h 12' 05'',1969,4117,26,426487,7925
EDOUARD JANSSENS,MERCIER-BP-HUTCHINSON,118h 28' 31'',+ 02h 12' 29'',1969,4117,26,426511,7949
SANTIAGO LAZCANO,KAS-KASKOL,118h 30' 15'',+ 02h 14' 13'',1969,4117,26,426615,8053
CHRISTIAN RAYMOND,PEUGEOT-BP-MICHELIN,118h 31' 18'',+ 02h 15' 16'',1969,4117,26,426678,8116
GIANCARLO FERRETTI,SALVARANI,118h 37' 31'',+ 02h 21' 29'',1969,4117,26,427051,8489
ROGER SWERTS,FAEMA,118h 42' 21'',+ 02h 26' 19'',1969,4117,26,427341,8779
GILBERT BELLONE,BIC,118h 42' 24'',+ 02h 26' 22'',1969,4117,26,427344,8782
JEAN-CLAUDE LEBAUBE,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,118h 46' 11'',+ 02h 30' 09'',1969,4117,26,427571,9009
MANUEL GALERA,FAGOR,118h 47' 24'',+ 02h 31' 22'',1969,4117,26,427644,9082
JEAN VIDAMENT,MERCIER-BP-HUTCHINSON,118h 49' 19'',+ 02h 33' 17'',1969,4117,26,427759,9197
EVERT DOLMAN,WILLEM II-GAZELLE,118h 49' 39'',+ 02h 33' 37'',1969,4117,26,427779,9217
BERNARD GUYOT,SONOLOR-LEJEUNE-WOLBER,118h 56' 33'',+ 02h 40' 31'',1969,4117,26,428193,9631
ROBERTO POGGIALI,SALVARANI,118h 57' 19'',+ 02h 41' 17'',1969,4117,26,428239,9677
WILFRIED PEFFGEN,SALVARANI,118h 58' 46'',+ 02h 42' 44'',1969,4117,26,428326,9764
ROLAND BERLAND,BIC,118h 59' 49'',+ 02h 43' 47'',1969,4117,26,428389,9827
FRANCIS RIGON,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,119h 00' 07'',+ 02h 44' 05'',1969,4117,26,428407,9845
ROBERT BOULOUX,PEUGEOT-BP-MICHELIN,119h 00' 19'',+ 02h 44' 17'',1969,4117,26,428419,9857
GEORGES VANDENBERGHE,FAEMA,119h 00' 19'',+ 02h 44' 17'',1969,4117,26,428419,9857
FERDINAND BRACKE,PEUGEOT-BP-MICHELIN,119h 01' 30'',+ 02h 45' 28'',1969,4117,26,428490,9928
JOSÉ GOMEZ-LUCAS,KAS-KASKOL,119h 02' 14'',+ 02h 46' 12'',1969,4117,26,428534,9972
PIETRO SCANDELLI,FAEMA,119h 02' 44'',+ 02h 46' 42'',1969,4117,26,428564,10002
JACQUES DE BOEVER,FLANDRIA-DE CLERCK-KRUGER,119h 03' 13'',+ 02h 47' 11'',1969,4117,26,428593,10031
NEMESIO JIMENEZ,KAS-KASKOL,119h 04' 01'',+ 02h 47' 59'',1969,4117,26,428641,10079
JEAN-LOUIS BODIN,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,119h 05' 34'',+ 02h 49' 32'',1969,4117,26,428734,10172
CEES HAAST,WILLEM II-GAZELLE,119h 07' 11'',+ 02h 51' 09'',1969,4117,26,428831,10269
JULES VAN DER FLAES,WILLEM II-GAZELLE,119h 07' 46'',+ 02h 51' 44'',1969,4117,26,428866,10304
GERBEN KARSTENS,PEUGEOT-BP-MICHELIN,119h 08' 19'',+ 02h 52' 17'',1969,4117,26,428899,10337
JOSÉ CATIEAU,SONOLOR-LEJEUNE-WOLBER,119h 09' 48'',+ 02h 53' 46'',1969,4117,26,428988,10426
BARRY HOBAN,MERCIER-BP-HUTCHINSON,119h 10' 08'',+ 02h 54' 06'',1969,4117,26,429008,10446
JEAN-PIERRE GENET,MERCIER-BP-HUTCHINSON,119h 10' 17'',+ 02h 54' 15'',1969,4117,26,429017,10455
MARIO ANNI,MOLTENI,119h 10' 20'',+ 02h 54' 18'',1969,4117,26,429020,10458
EDOUARD DELBERGHE,SONOLOR-LEJEUNE-WOLBER,119h 11' 00'',+ 02h 54' 58'',1969,4117,26,429060,10498
MICHAËL WRIGHT,BIC,119h 11' 49'',+ 02h 55' 47'',1969,4117,26,429109,10547
JULIEN STEVENS,FAEMA,119h 14' 40'',+ 02h 58' 38'',1969,4117,26,429280,10718
GIACINTO SANTAMBROGIO,MOLTENI,119h 16' 29'',+ 03h 00' 27'',1969,4117,26,429389,10827
MICHEL COULON,FLANDRIA-DE CLERCK-KRUGER,119h 21' 03'',+ 03h 05' 01'',1969,4117,26,429663,11101
WILLY IN'T VEN,MANN-GRUNDIG,119h 21' 04'',+ 03h 05' 02'',1969,4117,26,429664,11102
FRANS MINTJENS,FAEMA,119h 22' 08'',+ 03h 06' 06'',1969,4117,26,429728,11166
GUIDO REYBROECK,FAEMA,119h 23' 02'',+ 03h 07' 00'',1969,4117,26,429782,11220
HARM OTTENBROS,WILLEM II-GAZELLE,119h 23' 12'',+ 03h 07' 10'',1969,4117,26,429792,11230
ERIC LEMAN,FLANDRIA-DE CLERCK-KRUGER,119h 27' 15'',+ 03h 11' 13'',1969,4117,26,430035,11473
RAYMOND RIOTTE,MERCIER-BP-HUTCHINSON,119h 27' 39'',+ 03h 11' 37'',1969,4117,26,430059,11497
PIETRO GUERRA,SALVARANI,119h 30' 55'',+ 03h 14' 53'',1969,4117,26,430255,11693
MARC DE BLOCK,FLANDRIA-DE CLERCK-KRUGER,119h 36' 17'',+ 03h 20' 15'',1969,4117,26,430577,12015
EDDY BEUGELS,MERCIER-BP-HUTCHINSON,119h 36' 54'',+ 03h 20' 52'',1969,4117,26,430614,12052
ROGER COOREMAN,MANN-GRUNDIG,119h 49' 39'',+ 03h 33' 37'',1969,4117,26,431379,12817
PIERRE MATIGNON,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,120h 00' 25'',+ 03h 44' 23'',1969,4117,26,432025,13463
ANDRÉ WILHELM,SONOLOR-LEJEUNE-WOLBER,120h 06' 55'',+ 03h 50' 53'',1969,4117,26,432415,13853
EDDY MERCKX,FAEMA-FAEMINO,119h 31' 49'',-,1970,4254,29,430309,0
JOOP ZOETEMELK,FLANDRIA-DE CLERCK-KRUGER,119h 44' 30'',+ 00h 12' 41'',1970,4254,29,431070,761
GOSTA PETTERSSON,FERRETTI,119h 47' 43'',+ 00h 15' 54'',1970,4254,29,431263,954
MARTIN VAN DEN BOSSCHE,MOLTENI,119h 50' 42'',+ 00h 18' 53'',1970,4254,29,431442,1133
MARINUS ''RINI'' WAGTMANS,WILLEM II-GAZELLE,119h 51' 43'',+ 00h 19' 54'',1970,4254,29,431503,1194
LUCIEN VAN IMPE,SONOLOR-LEJEUNE-WOLBER,119h 52' 23'',+ 00h 20' 34'',1970,4254,29,431543,1234
RAYMOND POULIDOR,FAGOR-MERCIER-HUTCHINSON,119h 52' 24'',+ 00h 20' 35'',1970,4254,29,431544,1235
TONY HOUBRECHTS,SALVARANI,119h 53' 23'',+ 00h 21' 34'',1970,4254,29,431603,1294
FRANCISCO GALDOS,KAS-KASKOL,119h 53' 34'',+ 00h 21' 45'',1970,4254,29,431614,1305
GEORGES PINTENS,MANN-GRUNDIG,119h 55' 12'',+ 00h 23' 23'',1970,4254,29,431712,1403
RAYMOND DELISLE,PEUGEOT-BP-MICHELIN,119h 55' 48'',+ 00h 23' 59'',1970,4254,29,431748,1439
FRANCO BALMAMION,SALVARANI,119h 56' 59'',+ 00h 25' 10'',1970,4254,29,431819,1510
ITALO ZILIOLI,FAEMA-FAEMINO,119h 58' 06'',+ 00h 26' 17'',1970,4254,29,431886,1577
JOAQUIM AGOSTINHO,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,119h 58' 41'',+ 00h 26' 52'',1970,4254,29,431921,1612
LUIS ZUBERO,KAS-KASKOL,120h 00' 00'',+ 00h 28' 11'',1970,4254,29,432000,1691
WILLY VAN NESTE,MANN-GRUNDIG,120h 01' 06'',+ 00h 29' 17'',1970,4254,29,432066,1757
LUCIEN AIMAR,SONOLOR-LEJEUNE-WOLBER,120h 01' 11'',+ 00h 29' 22'',1970,4254,29,432071,1762
WLADIMIRO PANIZZA,SALVARANI,120h 02' 51'',+ 00h 31' 02'',1970,4254,29,432171,1862
JOHNNY SCHLECK,BIC,120h 04' 08'',+ 00h 32' 19'',1970,4254,29,432248,1939
ANDRES GANDARIAS,KAS-KASKOL,120h 07' 11'',+ 00h 35' 22'',1970,4254,29,432431,2122
JEAN DUMONT,PEUGEOT-BP-MICHELIN,120h 19' 17'',+ 00h 47' 28'',1970,4254,29,433157,2848
BERNARD VIFIAN,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,120h 21' 54'',+ 00h 50' 05'',1970,4254,29,433314,3005
FRANCISCO GABICA,KAS-KASKOL,120h 22' 07'',+ 00h 50' 18'',1970,4254,29,433327,3018
JOSEPH BRUYERE,FAEMA-FAEMINO,120h 24' 45'',+ 00h 52' 56'',1970,4254,29,433485,3176
AURELIO GONZALEZ,KAS-KASKOL,120h 27' 46'',+ 00h 55' 57'',1970,4254,29,433666,3357
JAN JANSSEN,BIC,120h 28' 18'',+ 00h 56' 29'',1970,4254,29,433698,3389
HENRI RABAUTE,FAGOR-MERCIER-HUTCHINSON,120h 30' 36'',+ 00h 58' 47'',1970,4254,29,433836,3527
PRIMO MORI,SALVARANI,120h 31' 28'',+ 00h 59' 39'',1970,4254,29,433888,3579
WALTER GODEFROOT,SALVARANI,120h 34' 25'',+ 01h 02' 36'',1970,4254,29,434065,3756
JOSEPH HUYSMANS,FAEMA-FAEMINO,120h 37' 13'',+ 01h 05' 24'',1970,4254,29,434233,3924
LUIS OCANA,BIC,120h 38' 48'',+ 01h 06' 59'',1970,4254,29,434328,4019
EVERT DOLMAN,WILLEM II-GAZELLE,120h 42' 08'',+ 01h 10' 19'',1970,4254,29,434528,4219
BERNARD LABOURDETTE,FAGOR-MERCIER-HUTCHINSON,120h 43' 11'',+ 01h 11' 22'',1970,4254,29,434591,4282
VICENTE LOPEZ-CARRIL,KAS-KASKOL,120h 44' 10'',+ 01h 12' 21'',1970,4254,29,434650,4341
BERNARD THEVENET,PEUGEOT-BP-MICHELIN,120h 45' 14'',+ 01h 13' 25'',1970,4254,29,434714,4405
THOMAS PETTERSON,FERRETTI,120h 45' 17'',+ 01h 13' 28'',1970,4254,29,434717,4408
ROLF WOLFSHOHL,FAGOR-MERCIER-HUTCHINSON,120h 47' 27'',+ 01h 15' 38'',1970,4254,29,434847,4538
EDDY SCHUTZ,MOLTENI,120h 47' 54'',+ 01h 16' 05'',1970,4254,29,434874,4565
GUERRINO TOSELLO,MOLTENI,120h 48' 32'',+ 01h 16' 43'',1970,4254,29,434912,4603
ALAIN VASSEUR,BIC,120h 49' 13'',+ 01h 17' 24'',1970,4254,29,434953,4644
ROBERT BOULOUX,PEUGEOT-BP-MICHELIN,120h 50' 10'',+ 01h 18' 21'',1970,4254,29,435010,4701
PIERRE GAUTIER,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,120h 50' 23'',+ 01h 18' 34'',1970,4254,29,435023,4714
RONALD DE WITTE,MANN-GRUNDIG,120h 51' 45'',+ 01h 19' 56'',1970,4254,29,435105,4796
JOS VAN DER VLEUTEN,WILLEM II-GAZELLE,120h 54' 35'',+ 01h 22' 46'',1970,4254,29,435275,4966
HARRY STEEVENS,CABALLERO-LAURENS,120h 55' 10'',+ 01h 23' 21'',1970,4254,29,435310,5001
JOSEPH SPRUYT,FAEMA-FAEMINO,120h 58' 19'',+ 01h 26' 30'',1970,4254,29,435499,5190
GÉRARD VIANEN,CABALLERO-LAURENS,120h 58' 53'',+ 01h 27' 04'',1970,4254,29,435533,5224
FLORENT VAN VLIERBERGHE,FERRETTI,121h 02' 54'',+ 01h 31' 05'',1970,4254,29,435774,5465
GIACINTO SANTAMBROGIO,MOLTENI,121h 05' 42'',+ 01h 33' 53'',1970,4254,29,435942,5633
WALTER RICCI,SONOLOR-LEJEUNE-WOLBER,121h 07' 48'',+ 01h 35' 59'',1970,4254,29,436068,5759
CHRISTIAN RAYMOND,PEUGEOT-BP-MICHELIN,121h 08' 16'',+ 01h 36' 27'',1970,4254,29,436096,5787
FRANCO MORI,MOLTENI,121h 09' 01'',+ 01h 37' 12'',1970,4254,29,436141,5832
ANDRÉ POPPE,MANN-GRUNDIG,121h 10' 16'',+ 01h 38' 27'',1970,4254,29,436216,5907
MARIO ANNI,MOLTENI,121h 10' 38'',+ 01h 38' 49'',1970,4254,29,436238,5929
JOSÉ-ANTONIO GONZALEZ-LINARES,KAS-KASKOL,121h 10' 50'',+ 01h 39' 01'',1970,4254,29,436250,5941
JOS DE SCHOENMACKER,MANN-GRUNDIG,121h 12' 06'',+ 01h 40' 17'',1970,4254,29,436326,6017
JEAN-PIERRE PARENTEAU,PEUGEOT-BP-MICHELIN,121h 12' 56'',+ 01h 41' 07'',1970,4254,29,436376,6067
MORGENS FREY,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,121h 12' 59'',+ 01h 41' 10'',1970,4254,29,436379,6070
ATTILIO BENFATTO,SCIC,121h 17' 20'',+ 01h 45' 31'',1970,4254,29,436640,6331
MAURICE IZIER,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,121h 19' 15'',+ 01h 47' 26'',1970,4254,29,436755,6446
CYRILLE GUIMARD,FAGOR-MERCIER-HUTCHINSON,121h 22' 00'',+ 01h 50' 11'',1970,4254,29,436920,6611
MARINO BASSO,MOLTENI,121h 24' 24'',+ 01h 52' 35'',1970,4254,29,437064,6755
JEAN-PIERRE DANGUILLAUME,PEUGEOT-BP-MICHELIN,121h 24' 50'',+ 01h 53' 01'',1970,4254,29,437090,6781
EDDY REYNIERS,MANN-GRUNDIG,121h 27' 01'',+ 01h 55' 12'',1970,4254,29,437221,6912
GABRIEL MASCARO,KAS-KASKOL,121h 27' 07'',+ 01h 55' 18'',1970,4254,29,437227,6918
DANIEL VAN RYCKEGHEM,MANN-GRUNDIG,121h 28' 33'',+ 01h 56' 44'',1970,4254,29,437313,7004
VICTOR VAN SCHIL,FAEMA-FAEMINO,121h 31' 53'',+ 02h 00' 04'',1970,4254,29,437513,7204
GÉRARD DAVID,FLANDRIA-DE CLERCK-KRUGER,121h 34' 44'',+ 02h 02' 55'',1970,4254,29,437684,7375
JOSÉ CATIEAU,SONOLOR-LEJEUNE-WOLBER,121h 41' 23'',+ 02h 09' 34'',1970,4254,29,438083,7774
PIETRO GUERRA,SALVARANI,121h 41' 56'',+ 02h 10' 07'',1970,4254,29,438116,7807
RAYMOND RIOTTE,SONOLOR-LEJEUNE-WOLBER,121h 42' 43'',+ 02h 10' 54'',1970,4254,29,438163,7854
GIANCARLO POLIDORI,SCIC,121h 43' 46'',+ 02h 11' 57'',1970,4254,29,438226,7917
NEMESIO JIMENEZ,KAS-KASKOL,121h 44' 15'',+ 02h 12' 26'',1970,4254,29,438255,7946
FRANS MINTJENS,FAEMA-FAEMINO,121h 45' 04'',+ 02h 13' 15'',1970,4254,29,438304,7995
ROGER PINGEON,PEUGEOT-BP-MICHELIN,121h 51' 48'',+ 02h 19' 59'',1970,4254,29,438708,8399
ROLAND BERLAND,BIC,121h 52' 17'',+ 02h 20' 28'',1970,4254,29,438737,8428
HARM OTTENBROS,WILLEM II-GAZELLE,121h 52' 41'',+ 02h 20' 52'',1970,4254,29,438761,8452
MICHEL PERIN,FAGOR-MERCIER-HUTCHINSON,121h 53' 22'',+ 02h 21' 33'',1970,4254,29,438802,8493
JAN VAN KATWIJK,WILLEM II-GAZELLE,121h 53' 55'',+ 02h 22' 06'',1970,4254,29,438835,8526
EDDY BEUGELS,FLANDRIA-DE CLERCK-KRUGER,121h 54' 39'',+ 02h 22' 50'',1970,4254,29,438879,8570
JEAN-PIERRE GENET,FAGOR-MERCIER-HUTCHINSON,121h 58' 11'',+ 02h 26' 22'',1970,4254,29,439091,8782
JEAN-MARIE LEBLANC,BIC,121h 59' 52'',+ 02h 28' 03'',1970,4254,29,439192,8883
GEORGES CHAPPE,FAGOR-MERCIER-HUTCHINSON,122h 02' 19'',+ 02h 30' 30'',1970,4254,29,439339,9030
MICHEL COULON,FLANDRIA-DE CLERCK-KRUGER,122h 03' 24'',+ 02h 31' 35'',1970,4254,29,439404,9095
CEES ZOONTJENS,CABALLERO-LAURENS,122h 04' 15'',+ 02h 32' 26'',1970,4254,29,439455,9146
ETIENNE ANTHEUNIS,FAEMA-FAEMINO,122h 04' 54'',+ 02h 33' 05'',1970,4254,29,439494,9185
PIETER NASSEN,FLANDRIA-DE CLERCK-KRUGER,122h 05' 06'',+ 02h 33' 17'',1970,4254,29,439506,9197
WILLY IN'T VEN,MANN-GRUNDIG,122h 06' 16'',+ 02h 34' 27'',1970,4254,29,439576,9267
DOMINGO PERURENA,FAGOR-MERCIER-HUTCHINSON,122h 13' 46'',+ 02h 41' 57'',1970,4254,29,440026,9717
MARC LIEVENS,FLANDRIA-DE CLERCK-KRUGER,122h 16' 41'',+ 02h 44' 52'',1970,4254,29,440201,9892
CEES RENTMEESTER,CABALLERO-LAURENS,122h 18' 56'',+ 02h 47' 07'',1970,4254,29,440336,10027
ROMANO TUMELLERO,FERRETTI,122h 22' 29'',+ 02h 50' 40'',1970,4254,29,440549,10240
RENÉ DE BIE,MANN-GRUNDIG,122h 30' 39'',+ 02h 58' 50'',1970,4254,29,441039,10730
SYLVAIN VASSEUR,BIC,122h 33' 50'',+ 03h 02' 01'',1970,4254,29,441230,10921
LUCIANO DALLA BONA,SALVARANI,122h 51' 45'',+ 03h 19' 56'',1970,4254,29,442305,11996
PIERRE GHISELINI,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,122h 53' 38'',+ 03h 21' 49'',1970,4254,29,442418,12109
JACQUES DE BOEVER,FLANDRIA-DE CLERCK-KRUGER,122h 55' 46'',+ 03h 23' 57'',1970,4254,29,442546,12237
ADRIANO DURANTE,SCIC,123h 03' 29'',+ 03h 31' 40'',1970,4254,29,443009,12700
FRITS HOOGERHEIDE,WILLEM II-GAZELLE,123h 26' 01'',+ 03h 54' 12'',1970,4254,29,444361,14052
EDDY MERCKX,MOLTENI,96h 45' 14'',-,1971,3608,25,348314,0
JOOP ZOETEMELK,MARS-FLANDRIA,96h 55' 05'',+ 00h 09' 51'',1971,3608,25,348905,591
LUCIEN VAN IMPE,SONOLOR-LEJEUNE,96h 56' 20'',+ 00h 11' 06'',1971,3608,25,348980,666
BERNARD THEVENET,PEUGEOT-BP-MICHELIN,97h 00' 04'',+ 00h 14' 50'',1971,3608,25,349204,890
JOAQUIM AGOSTINHO,HOOVER-DE GRIBALDY,97h 06' 14'',+ 00h 21' 00'',1971,3608,25,349574,1260
LEIF MORTENSEN,BIC,97h 06' 52'',+ 00h 21' 38'',1971,3608,25,349612,1298
VIRGINIO LEVATI,SALVARANI,97h 08' 12'',+ 00h 22' 58'',1971,3608,25,349692,1378
BERNARD LABOURDETTE,BIC,97h 15' 19'',+ 00h 30' 05'',1971,3608,25,350119,1805
LUCIEN AIMAR,SONOLOR-LEJEUNE,97h 17' 57'',+ 00h 32' 43'',1971,3608,25,350277,1963
VICENTE LOPEZ-CARRIL,KAS,97h 21' 12'',+ 00h 35' 58'',1971,3608,25,350472,2158
FRANCISCO GALDOS,KAS,97h 27' 11'',+ 00h 41' 57'',1971,3608,25,350831,2517
PRIMO MORI,SALVARANI,97h 32' 56'',+ 00h 47' 42'',1971,3608,25,351176,2862
ANTONIO MARTOS,WERNER,97h 33' 25'',+ 00h 48' 11'',1971,3608,25,351205,2891
HERMAN VANSPRINGEL,MOLTENI,97h 33' 32'',+ 00h 48' 18'',1971,3608,25,351212,2898
AUGUSTIN TAMAMES,WERNER,97h 34' 31'',+ 00h 49' 17'',1971,3608,25,351271,2957
MARINUS ''RINI'' WAGTMANS,MOLTENI,97h 38' 02'',+ 00h 52' 48'',1971,3608,25,351482,3168
DÉSIRÉ LETORT,BIC,97h 43' 05'',+ 00h 57' 51'',1971,3608,25,351785,3471
